gen_ob_id,life_stage,sex,sampling_protocol,sample_size,vial_number,locality,county,state_or_province,country,latitude,longitude,beetle_identifier
3456,135,177,149,1,,Naples,United States,Florida,United States,26,-81,37111
3457,135,177,149,1,,Naples,United States,Florida,United States,26,-81,37110
3458,135,132,149,1,,Naples,United States,Florida,United States,26,-81,37109
3459,135,132,149,1,,Naples,United States,Florida,United States,26,-81,37108
3460,135,177,149,1,,Naples,United States,Florida,United States,26,-81,37107
3461,135,177,149,1,,Naples,United States,Florida,United States,26,-81,37106
3462,135,132,149,1,,Naples,United States,Florida,United States,26,-81,37105
3463,135,177,149,1,,Naples,United States,Florida,United States,26,-81,37104
3464,135,177,149,1,,Naples,United States,Florida,United States,26,-81,37103
3465,135,177,149,1,,Naples,United States,Florida,United States,26,-81,37102
3466,135,132,149,1,,Naples,United States,Florida,United States,26,-81,37101
3467,135,132,149,1,,Naples,United States,Florida,United States,26,-81,37100
3468,135,132,149,1,,Naples,United States,Florida,United States,26,-81,37099
3469,135,132,149,1,,Gainesville,United States,Florida,United States,29,-82,37523
3470,135,132,149,1,,Gainesville,United States,Florida,United States,29,-82,37522
3471,135,177,149,1,,Homestead,United States,Florida,United States,25,-80,37774
3472,135,177,149,1,,Homestead,United States,Florida,United States,25,-80,37773
3473,135,177,149,1,,Homestead,United States,Florida,United States,25,-80,37772
3474,135,177,149,1,,Homestead,United States,Florida,United States,25,-80,37771
3475,135,177,149,1,,Homestead,United States,Florida,United States,25,-80,37770
3476,135,177,149,1,,Homestead,United States,Florida,United States,25,-80,37769
3477,135,177,149,1,,Homestead,United States,Florida,United States,25,-80,37768
3478,135,177,149,1,,Homestead,United States,Florida,United States,25,-80,37767
3479,135,177,149,1,,Homestead,United States,Florida,United States,25,-80,37766
3480,135,177,149,1,,Homestead,United States,Florida,United States,25,-80,37765
3481,135,177,149,1,,Homestead,United States,Florida,United States,25,-80,37764
3482,135,132,149,1,,Homestead,United States,Florida,United States,25,-80,37763
3483,135,132,149,1,,Homestead,United States,Florida,United States,25,-80,37762
3484,135,132,149,1,,Homestead,United States,Florida,United States,25,-80,37761
3485,135,132,149,1,,Homestead,United States,Florida,United States,25,-80,37760
3486,135,132,149,1,,Homestead,United States,Florida,United States,25,-80,37759
3487,135,132,149,1,,Homestead,United States,Florida,United States,25,-80,37758
3488,135,132,149,1,,Homestead,United States,Florida,United States,25,-80,37757
3489,135,132,149,1,,Homestead,United States,Florida,United States,25,-80,37756
3490,135,132,149,1,,Homestead,United States,Florida,United States,25,-80,37755
3491,135,132,149,1,,Homestead,United States,Florida,United States,25,-80,37754
