gen_ob_id,technique,tissue,incubation_temperature,from_media_batch,physical_label,fridge_date,discard_date
3576,28,193,25,19,21456,1/1/25,11/5/24
3763,33,35,25,20,21695,1/1/25,11/5/24
3541,29,193,25,19,21421,1/1/25,11/5/24
3496,28,193,25,19,21378,1/1/25,11/5/24
3497,29,193,25,19,21379,1/1/25,11/5/24
3542,28,194,25,19,21422,1/1/25,11/5/24
3543,29,194,25,19,21423,1/1/25,11/5/24
3494,28,192,25,19,21376,1/1/25,11/5/24
3495,29,192,25,19,21377,1/1/25,11/5/24
3500,28,194,25,19,21380,1/1/25,11/5/24
3501,29,194,25,19,21381,1/1/25,11/5/24
3502,28,192,25,19,21382,1/1/25,11/5/24
3503,29,192,25,19,21383,1/1/25,11/5/24
3504,28,193,25,19,21384,1/1/25,11/5/24
3505,29,193,25,19,21385,1/1/25,11/5/24
3506,28,194,25,19,21386,1/1/25,11/5/24
3507,29,194,25,19,21387,1/1/25,11/5/24
3508,28,192,25,19,21388,1/1/25,11/5/24
3509,29,192,25,19,21389,1/1/25,11/5/24
3510,28,193,25,19,21390,1/1/25,11/5/24
3511,29,193,25,19,21391,1/1/25,11/5/24
3512,28,194,25,19,21392,1/1/25,11/5/24
3513,29,194,25,19,21393,1/1/25,11/5/24
3514,28,192,25,19,21394,1/1/25,11/5/24
3515,29,192,25,19,21395,1/1/25,11/5/24
3516,28,193,25,19,21396,1/1/25,11/5/24
3517,29,193,25,19,21397,1/1/25,11/5/24
3518,28,194,25,19,21398,1/1/25,11/5/24
3519,29,194,25,19,21399,1/1/25,11/5/24
3520,28,192,25,19,21400,1/1/25,11/5/24
3521,29,192,25,19,21401,1/1/25,11/5/24
3522,28,193,25,19,21402,1/1/25,11/5/24
3523,29,193,25,19,21403,1/1/25,11/5/24
3524,28,194,25,19,21404,1/1/25,11/5/24
3525,29,194,25,19,21405,1/1/25,11/5/24
3526,28,192,25,19,21406,1/1/25,11/5/24
3527,29,192,25,19,21407,1/1/25,11/5/24
3528,28,193,25,19,21408,1/1/25,11/5/24
3529,29,193,25,19,21409,1/1/25,11/5/24
3530,28,194,25,19,21410,1/1/25,11/5/24
3531,29,194,25,19,21411,1/1/25,11/5/24
3532,28,192,25,19,21412,1/1/25,11/5/24
3533,29,192,25,19,21413,1/1/25,11/5/24
3534,28,193,25,19,21414,1/1/25,11/5/24
3535,29,193,25,19,21415,1/1/25,11/5/24
3536,28,194,25,19,21416,1/1/25,11/5/24
3537,29,194,25,19,21417,1/1/25,11/5/24
3538,28,192,25,19,21418,1/1/25,11/5/24
3539,29,192,25,19,21419,1/1/25,11/5/24
3540,28,193,25,19,21420,1/1/25,11/5/24
