gen_ob_id,batch_label,tube_number,method
8228,Compiled Euplatypus,8956,57
8229,Compiled Euplatypus,8955,57
8230,Compiled Euplatypus,8954,57
8231,Compiled Euplatypus,8953,57
8232,Compiled Euplatypus,8952,57
8233,Compiled Euplatypus,8951,57
8234,Compiled Euplatypus,8950,57
8235,Compiled Euplatypus,8949,57
8236,Compiled Euplatypus,8948,57
8237,Compiled Euplatypus,8947,57
8238,Compiled Euplatypus,8946,57
8244,Compiled Euplatypus,8940,57
8245,Compiled Euplatypus,8939,57
8246,Compiled Euplatypus,8938,57
8247,Compiled Euplatypus,8937,57
8248,Compiled Euplatypus,8936,57
8249,Compiled Euplatypus,8935,57
8250,Compiled Euplatypus,8934,57
8251,Compiled Euplatypus,8933,57
8252,Compiled Euplatypus,8969,57
8253,Compiled Euplatypus,8932,57
8254,Compiled Euplatypus,8931,57
8255,Compiled Euplatypus,8930,57
8256,Compiled Euplatypus,8968,57
8257,Compiled Euplatypus,8929,57
8258,Compiled Euplatypus,8928,57
8259,Compiled Euplatypus,8927,57
8260,Compiled Euplatypus,8926,57
8261,Compiled Euplatypus,8925,57
8262,Compiled Euplatypus,8924,57
8263,Compiled Euplatypus,8923,57
8264,Compiled Euplatypus,8922,57
8265,Compiled Euplatypus,8921,57
8266,Compiled Euplatypus,8967,57
8267,Compiled Euplatypus,8920,57
8268,Compiled Euplatypus,8966,57
8269,Compiled Euplatypus,8919,57
8270,Compiled Euplatypus,8965,57
8271,Compiled Euplatypus,8918,57
8272,Compiled Euplatypus,8964,57
8273,Compiled Euplatypus,8917,57
8274,Compiled Euplatypus,8963,57
8275,Compiled Euplatypus,8916,57
8276,Compiled Euplatypus,8915,57
8277,Compiled Euplatypus,8914,57
8278,Compiled Euplatypus,8913,57
8279,Compiled Euplatypus,8912,57
8280,Compiled Euplatypus,8911,57
8281,Compiled Euplatypus,8910,57
8282,Compiled Euplatypus,8909,57
8283,Compiled Euplatypus,8908,57
8284,Compiled Euplatypus,8907,57
8285,Compiled Euplatypus,8906,57
8286,Compiled Euplatypus,8905,57
8287,Compiled Euplatypus,8904,57
8288,Compiled Euplatypus,8903,57
8289,Compiled Euplatypus,8902,57
8290,Compiled Euplatypus,8901,57
8291,Compiled Euplatypus,8900,57
8292,Compiled Euplatypus,8899,57
8293,Compiled Euplatypus,8898,57
8294,Compiled Euplatypus,8897,57
8295,Compiled Euplatypus,8896,57
8296,Compiled Euplatypus,8895,57
8297,Compiled Euplatypus,8894,57
8298,Compiled Euplatypus,8893,57
8299,Compiled Euplatypus,8892,57
8300,Compiled Euplatypus,8891,57
8301,Compiled Euplatypus,8890,57
8302,Compiled Euplatypus,8889,57
8303,Compiled Euplatypus,8888,57
8304,Compiled Euplatypus,8887,57
8305,Compiled Euplatypus,8886,57
8306,Compiled Euplatypus,8885,57
8307,Compiled Euplatypus,8884,57
8308,Compiled Euplatypus,8883,57
8309,Compiled Euplatypus,8882,57
8310,Compiled Euplatypus,8881,57
8312,Compiled Euplatypus,8879,57
8313,Compiled Euplatypus,8878,57
8314,Compiled Euplatypus,8877,57
8315,Compiled Euplatypus,8876,57
8316,Compiled Euplatypus,8875,57
8317,Compiled Euplatypus,8874,57
8318,Compiled Euplatypus,8873,57
8319,Compiled Euplatypus,8872,57
8320,Compiled Euplatypus,8871,57
8322,Compiled Euplatypus,8869,57
8323,Compiled Euplatypus,8868,57
8324,Compiled Euplatypus,8867,57
8325,Compiled Euplatypus,8866,57
8326,Compiled Euplatypus,8865,57
8327,Compiled Euplatypus,8864,57
8328,Compiled Euplatypus,8863,57
8329,Compiled Euplatypus,8862,57
8330,Compiled Euplatypus,8861,57
8331,Compiled Euplatypus,8860,57
8332,Compiled Euplatypus,8859,57
8333,Compiled Euplatypus,8858,57
8334,Compiled Euplatypus,8857,57
8335,Compiled Euplatypus,8856,57
8321,Compiled Euplatypus,8870,57
8341,Compiled Euplatypus,8850,57
8342,Compiled Euplatypus,8849,57
8343,Compiled Euplatypus,8848,57
8344,Compiled Euplatypus,8847,57
8345,Compiled Euplatypus,8846,57
8346,Compiled Euplatypus,8845,57
8347,Compiled Euplatypus,8844,57
8348,Compiled Euplatypus,8822,57
8349,Compiled Euplatypus,8823,57
8350,Compiled Euplatypus,8816,57
8351,Compiled Euplatypus,8817,57
8352,Compiled Euplatypus,8814,57
8353,Compiled Euplatypus,8815,57
8354,Compiled Euplatypus,8739,57
8355,Compiled Euplatypus,8720,57
8356,Compiled Euplatypus,8692,57
8357,Compiled Euplatypus,8688,57
8358,Compiled Euplatypus,8731,57
8359,Compiled Euplatypus,8730,57
8360,Compiled Euplatypus,8754,57
8361,Compiled Euplatypus,8755,57
8362,Compiled Euplatypus,8729,57
8363,Compiled Euplatypus,8713,57
8364,Compiled Euplatypus,8740,57
8365,Compiled Euplatypus,8733,57
8366,Compiled Euplatypus,8732,57
8367,Compiled Euplatypus,8727,57
8368,Compiled Euplatypus,8715,57
8369,Compiled Euplatypus,8701,57
8370,Compiled Euplatypus,8687,57
8371,Compiled Euplatypus,8686,57
8372,Compiled Euplatypus,8746,57
8373,Compiled Euplatypus,8685,57
8374,Compiled Euplatypus,8722,57
8375,Compiled Euplatypus,8717,57
8376,Compiled Euplatypus,8714,57
8377,Compiled Euplatypus,8712,57
8378,Compiled Euplatypus,8706,57
8379,Compiled Euplatypus,8705,57
8380,Compiled Euplatypus,8694,57
8381,Compiled Euplatypus,8743,57
8382,Compiled Euplatypus,8742,57
8383,Compiled Euplatypus,8820,57
8384,Compiled Euplatypus,8821,57
8385,Compiled Euplatypus,8736,57
8386,Compiled Euplatypus,8728,57
8387,Compiled Euplatypus,8719,57
8388,Compiled Euplatypus,8716,57
8389,Compiled Euplatypus,8735,57
8390,Compiled Euplatypus,8750,57
8391,Compiled Euplatypus,8753,57
8392,Compiled Euplatypus,8756,57
8393,Compiled Euplatypus,8757,57
8394,Compiled Euplatypus,8724,57
8395,Compiled Euplatypus,8749,57
8396,Compiled Euplatypus,8760,57
8397,Compiled Euplatypus,8761,57
8398,Compiled Euplatypus,8718,57
8399,Compiled Euplatypus,8707,57
8400,Compiled Euplatypus,8725,57
8401,Compiled Euplatypus,8708,57
8402,Compiled Euplatypus,8697,57
8403,Compiled Euplatypus,8696,57
8404,Compiled Euplatypus,8690,57
8405,Compiled Euplatypus,8747,57
8406,Compiled Euplatypus,8752,57
8407,Compiled Euplatypus,8689,57
8408,Compiled Euplatypus,8745,57
8409,Compiled Euplatypus,8751,57
8410,Compiled Euplatypus,8818,57
8411,Compiled Euplatypus,8819,57
8412,Compiled Euplatypus,8737,57
8413,Compiled Euplatypus,8710,57
8414,Compiled Euplatypus,8699,57
8415,Compiled Euplatypus,8698,57
8416,Compiled Euplatypus,8709,57
8417,Compiled Euplatypus,8700,57
8418,Compiled Euplatypus,8711,57
8419,Compiled Euplatypus,8704,57
8420,Compiled Euplatypus,8741,57
8421,Compiled Euplatypus,8738,57
8422,Compiled Euplatypus,8734,57
8423,Compiled Euplatypus,8726,57
8424,Compiled Euplatypus,8695,57
8425,Compiled Euplatypus,8723,57
8426,Compiled Euplatypus,8748,57
8427,Compiled Euplatypus,8758,57
8428,Compiled Euplatypus,8759,57
8430,Compiled Euplatypus,8703,57
8429,Compiled Euplatypus,8721,57
8227,Compiled Euplatypus,8957,57
8239,Compiled Euplatypus,8945,57
8240,Compiled Euplatypus,8944,57
8241,Compiled Euplatypus,8943,57
8242,Compiled Euplatypus,8942,57
8243,Compiled Euplatypus,8941,57
8336,Compiled Euplatypus,8855,57
8311,Compiled Euplatypus,8880,57
8337,Compiled Euplatypus,8854,57
8338,Compiled Euplatypus,8853,57
8339,Compiled Euplatypus,8852,57
8340,Compiled Euplatypus,8851,57
8431,Compiled Euplatypus,8702,57
8432,Compiled Euplatypus,8693,57
8433,Compiled Euplatypus,8691,57
