gen_ob_id,gallery_id,part_sampled
166,4 Ig,141
175,1 Ig,141
176,2 Ig,141
177,3 Ig,141
178,4 Ig,141
179,5 Ig,141
180,6 Ig,141
181,7 Ig,141
182,8 Ig,141
183,9 Ig,141
184,6 Ig,141
185,7 Ig,141
186,8 Ig,141
187,10 Ig,141
188,11 Ig,141
189,2 Ia,141
190,1 Pi,141
191,2 Pi,141
192,3 Pi,141
193,4 Pi,141
194,5 Pi,141
195,6 Pi,141
196,7 Pi,141
197,1 Ig,141
198,8 Pi,141
199,9 Pi,141
200,10 Pi,141
201,1 Ig,141
202,2 Ig,141
203,3 Ig,141
204,4 Ig,141
205,5 Ig,141
206,6 Ig,141
207,7 Ig,141
208,8 Ig,141
209,9 Ig,141
210,10 Ig,141
211,1 Pi,141
212,2 Pi,141
213,1 Ig,141
214,2 Ig,141
215,3 Ig,141
217,4 Ig,141
218,5 Ig,141
219,6 Ig,141
220,7 Ig,141
221,8 Ig,141
222,9 Ig,141
223,10 Ig,141
224,1 Ig,141
225,2 Ig,141
226,3 Ig,141
227,4 Ig,141
228,5 Ig,141
229,6 Ig,141
230,8 Ig,141
231,9 Ig,141
232,10 Ig,141
233,1 Ia,141
234,2 Ia,141
235,1 Pi,141
236,2 Ig,141
237,3 Ig,141
238,5 Ig,141
239,9 Ig,141
240,10 Ig,141
241,11 Ig,141
242,12 Ig,141
243,13 Ig,141
244,1 Ic,141
245,2 Ig,141
246,3 Ig,141
247,4 Ig,141
248,5 Ig,141
249,6 Ig,141
250,1 Pi,141
251,7 Ig,141
252,2 Pi,141
253,8 Ig,141
254,9 Uk,141
255,3 Pi,141
256,10 Uk,141
257,11 Ig,141
282,7 Ig,141
554,1 Ig,141
555,2 Ig,141
556,3 Ig,141
557,4 Ig,141
558,5 Ig,141
559,6 Ig,141
560,7 Ig,141
561,1 Ic,141
562,2 Ic,141
563,3 Ic,141
564,4 Ic,141
565,5 Ic,141
566,6 Ic,141
567,7 Ic,141
568,8 Ic,141
569,9 Ic,141
570,10 Ic,141
571,1 Ic,141
572,2 Ic,141
573,3 Ic,141
574,4 Ic,141
575,5 Ic,141
576,6 Ic,141
577,7 Ic,141
578,8 Ic,141
579,9 Ic,141
580,10 Ic,141
581,11 Ic,141
582,12 Ic,141
583,1 Ig,141
1171,1 Ic,170
1172,2 Ic,170
1173,3 Ic,170
1174,4 Ic,170
1175,5 Ic,170
1176,6 Ic,170
1177,7 Ic,170
1178,8 Ic,170
1179,9 Ic,170
