ided_ob_id,taxon,identification_reference,id_by,notes,percent_identity,date_identified,accession_number
8772,Esteya floridana,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8774,Esteya floridana,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8775,Ceratocystiopsis lunata,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8778,Raffaelea xyleborini,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8779,Ambrosiozyma sp.,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8781,Raffaelea xyleborini,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8783,Raffaelea xyleborini,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8784,Ambrosiozyma sp.,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8785,Ambrosiozyma sp.,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8786,Sporothrix sp.,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8787,Raffaelea xyleborini,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8788,Ambrosiozyma sp.,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8789,Raffaelea xyleborini,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8790,Ambrosiozyma sp.,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8792,Raffaelea sp. 3,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
9093,Raffaelea sulcati CBS 806.70,,11,,0.9889,2023-05-01T00:00:00.000Z,NG_064084
9094,Saccharomycopsis selenospora CBS 2562,,11,,0.9618000000000001,2023-05-01T00:00:00.000Z,NG_058393
9020,Ambrosiozyma sp.,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8794,Raffaelea xyleborini,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8795,Ambrosiozyma sp.,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8796,Raffaelea xyleborini,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8799,Raffaelea xyleborini,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8800,Ceratocystiopsis lunata,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8801,Raffaelea sp. 3,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8802,Ceratocystiopsis lunata,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8803,Ceratocystiopsis lunata,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8804,Raffaelea sp. 3,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8809,Raffaelea xyleborini,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
3476,"Euplatypus parallelus (Fabricius, 1801) ",,11,,0,2022-06-16T15:08:00.000Z,
3486,"Euplatypus parallelus (Fabricius, 1801) ",,11,,0,2022-06-14T15:08:00.000Z,
8901,Raffaelea sulcati CBS 806.70,,11,,0.009889,2023-05-01T00:00:00.000Z,NG_064084
8902,Raffaelea santoroi CBS 399.67,,11,,0.009537,2023-05-01T00:00:00.000Z,NG_064067
8903,Starmera dryadoides NRRL Y-10990,,11,,0.009366,2023-05-01T00:00:00.000Z,EF550290
8904,Starmera dryadoides NRRL Y-10990,,11,,0.009377,2023-05-01T00:00:00.000Z,EF550290
8905,Starmera dryadoides NRRL Y-10990,,11,,0.009413,2023-05-01T00:00:00.000Z,EF550290
8812,Saccharomycopsis sp.,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8814,Ambrosiozyma sp.,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8817,Harringtonia chlamydospora,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8818,Raffaelea xyleborini,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8819,Ceratocystiopsis lunata,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8820,Ceratocystiopsis lunata,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8822,Raffaelea xyleborini,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8824,Raffaelea xyleborini,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8826,Ceratocystiopsis lunata,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8773,Raffaelea xyleborini,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8777,Dryadomyces sp.,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8816,Ceratocystiopsis lunata,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8821,Harringtonia arthroconidialis,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8831,Starmera sp.,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8832,Starmera sp.,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8835,Ambrosiozyma sp.,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8836,Ambrosiozyma sp.,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8837,Ogataea sp. 2,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8838,Ambrosiozyma sp.,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8839,Ambrosiozyma sp.,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8840,Ambrosiozyma sp.,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8841,Ambrosiozyma sp.,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8842,Ceratocystiopsis lunata,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8843,Ambrosiozyma sp.,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8844,Ceratocystiopsis lunata,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8845,Ambrosiozyma sp.,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8846,Raffaelea sp. 1,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8847,Raffaelea sp. 1,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8848,Saccharomycopsis sp.,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8849,Raffaelea xyleborini,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8850,Ambrosiozyma sp.,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8852,Ambrosiozyma sp.,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8853,Ambrosiozyma sp.,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8854,Raffaelea sp. 2,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8855,Raffaelea sp. 1,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8856,Raffaelea xyleborini,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8857,Raffaelea xyleborini,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8858,Raffaelea xyleborini,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8859,Raffaelea xyleborini,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
8860,Raffaelea xyleborini,Post Phylogenetic Analysis,11,,0,2024-08-29T22:29:41.318Z,
