gen_ob_id,on_plate,morphotype,cfus
9187,21392,199,40
9289,21378,199,1490
9219,21378,201,170
9237,21380,202,70
9270,21380,204,10
9218,21380,201,2680
9183,21380,199,40
9228,21383,200,26700
9257,21384,204,110
9185,21384,199,220
9283,21384,201,210
9282,21384,203,50
9238,21384,202,160
9260,21386,199,10
9196,21386,203,20
9236,21386,202,30
9285,21386,201,100
9230,21389,201,200
9242,21389,206,23900
9229,21389,200,11800
9194,21390,204,20
9240,21376,201,10
9227,21376,200,1510
9241,21376,204,4920
9259,21378,203,60
9286,21390,202,10
9197,21390,203,280
9258,21390,205,30
9184,21390,199,110
9195,21392,203,100
9201,21396,200,90
9186,21396,199,40
9255,21398,201,40
9202,21398,200,30
9239,21401,205,40500
9252,21401,200,10500
9254,21402,203,110
9203,21402,201,590
9189,21402,199,880
9256,21404,199,10
9253,21404,204,40
9212,21404,202,50
9188,21404,201,10
9204,21404,201,10
9249,21407,200,11700
9279,21408,202,380
9231,21408,199,280
9209,21408,201,40
9278,21410,199,20
9232,21410,202,30
9250,21413,200,39200
9233,21414,199,170
9210,21414,201,20
9272,21416,202,10
9234,21416,199,170
9211,21416,201,40
9251,21419,200,40000
9199,21420,199,90
9207,21420,201,20
9208,21420,202,10
9246,21425,200,67000
9205,21426,201,650
9290,21426,203,10
9200,21426,199,100
9206,21426,202,70
9198,21428,199,40
9247,21428,201,200
9235,21431,204,26200
9243,21431,200,42000
9291,21432,199,110
9284,21432,202,150
9248,21432,201,60
9292,21434,202,10
9269,21434,203,10
9277,21434,201,20
9223,21436,201,20
9245,21438,200,1720
9244,21438,199,10
9217,21440,200,2740
9225,21444,199,10
9281,21446,201,40
9226,21446,199,130
9224,21446,200,10
9261,21446,202,30
9193,21450,199,10
9190,21452,200,230
9191,21452,201,40
9273,21456,199,20
9192,21458,200,10
9274,21458,199,10
9276,21462,199,80
9275,21464,199,160
9264,21470,200,30
9265,21470,199,30
9262,21470,201,30
9263,21476,199,140
9266,21476,200,1020
9288,21476,202,40
9293,21476,201,10
9220,21480,199,30
9222,21482,200,50
9271,21482,202,10
9287,21482,201,10
9221,21482,199,190
9268,21486,203,10
9267,21486,202,20
9294,21486,199,10
9215,21488,199,50
9295,21488,201,40
9280,21488,204,170
9216,21488,200,270
9213,21494,199,60
9296,21494,201,30
9214,21494,200,30
9182,21526,200,730
9138,21526,199,50
9139,21526,203,400
9127,21527,199,100
9157,21529,199,10
9129,21530,199,500
9131,21532,199,20
9167,21533,202,500
9160,21533,201,100
9170,21535,199,100
9173,21536,199,100
9147,21539,199,200
9140,21541,199,190
9145,21549,199,1000
9135,21550,200,50
9136,21553,199,180
9134,21553,202,10
9146,21555,202,1000
9169,21559,204,50
9159,21562,206,40
9144,21565,200,410
9178,21566,201,100
9154,21571,199,240
9143,21571,202,160
9180,21571,200,50
9181,21572,203,600
9175,21574,199,20
9174,21574,200,10
9162,21574,201,10
9168,21577,199,370
9155,21577,200,90
9152,21577,199,370
9142,21580,200,10
9141,21580,199,470
9130,21583,199,1790
9148,21583,199,1790
9150,21583,199,1790
9158,21584,200,700
9153,21584,199,1300
9161,21586,203,110
9166,21586,199,350
9165,21586,202,140
9125,21587,201,200
9151,21589,199,2300
9137,21589,200,90
9124,21590,201,100
9172,21590,199,2000
9176,21590,202,400
9149,21595,199,80
9164,21595,202,10
9163,21595,201,50
9179,21595,200,30
9171,21598,199,40
9126,21601,199,540
9156,21601,201,230
9128,21601,200,80
