gen_ob_id,batch_label_pcr,tube_number_pcr,success,forward_primer,reverse_primer,cycle
8478,Compiled Euplatypus,14661,,3,4,195
8507,Compiled Euplatypus,14691,,3,4,195
8512,Compiled Euplatypus,14696,,3,4,195
8540,Compiled Euplatypus,14884,,3,4,195
8541,Compiled Euplatypus,14885,,3,4,195
8542,Compiled Euplatypus,14886,,3,4,195
8543,Compiled Euplatypus,14887,,3,4,195
8550,Compiled Euplatypus,14894,,5,6,196
8551,Compiled Euplatypus,8693,TRUE,5,6,197
8552,Compiled Euplatypus,8694,TRUE,5,6,197
8553,Compiled Euplatypus,8695,TRUE,5,6,197
8554,Compiled Euplatypus,8702,TRUE,5,6,197
8555,Compiled Euplatypus,8705,TRUE,5,6,197
8556,Compiled Euplatypus,8746,TRUE,5,6,197
8557,Compiled Euplatypus,8751,TRUE,5,6,197
8544,Compiled Euplatypus,14888,TRUE,5,6,196
8545,Compiled Euplatypus,14889,TRUE,5,6,196
8546,Compiled Euplatypus,14890,TRUE,5,6,196
8547,Compiled Euplatypus,14891,TRUE,5,6,196
8548,Compiled Euplatypus,14892,TRUE,5,6,196
8549,Compiled Euplatypus,14893,TRUE,5,6,196
8436,Compiled Euplatypus,14625,TRUE,3,4,195
8439,Compiled Euplatypus,14628,,3,4,195
8440,Compiled Euplatypus,14629,TRUE,3,4,195
8442,Compiled Euplatypus,14631,TRUE,3,4,195
8444,Compiled Euplatypus,14633,TRUE,3,4,195
8445,Compiled Euplatypus,14634,TRUE,3,4,195
8447,Compiled Euplatypus,14636,TRUE,3,4,195
8448,Compiled Euplatypus,14637,TRUE,3,4,195
8449,Compiled Euplatypus,14638,TRUE,3,4,195
8516,Compiled Euplatypus,14700,,5,6,196
8434,Compiled Euplatypus,14623,TRUE,3,4,195
8435,Compiled Euplatypus,14624,,3,4,195
8437,Compiled Euplatypus,14626,TRUE,3,4,195
8438,Compiled Euplatypus,14627,,3,4,195
8441,Compiled Euplatypus,14630,TRUE,3,4,195
8513,Compiled Euplatypus,14697,,3,4,195
8508,Compiled Euplatypus,14692,TRUE,3,4,195
8511,Compiled Euplatypus,14695,TRUE,3,4,195
8510,Compiled Euplatypus,14694,TRUE,3,4,195
8505,Compiled Euplatypus,14689,TRUE,3,4,195
8509,Compiled Euplatypus,14693,TRUE,3,4,195
8515,Compiled Euplatypus,14699,TRUE,3,4,195
8506,Compiled Euplatypus,14690,TRUE,3,4,195
8499,Compiled Euplatypus,14683,TRUE,3,4,195
8514,Compiled Euplatypus,14698,TRUE,3,4,195
8501,Compiled Euplatypus,14685,TRUE,3,4,195
8502,Compiled Euplatypus,14686,TRUE,3,4,195
8503,Compiled Euplatypus,14687,TRUE,3,4,195
8504,Compiled Euplatypus,14688,TRUE,3,4,195
8479,Compiled Euplatypus,14662,TRUE,3,4,195
8480,Compiled Euplatypus,14663,TRUE,3,4,195
8481,Compiled Euplatypus,14664,TRUE,3,4,195
8482,Compiled Euplatypus,14665,TRUE,3,4,195
8483,Compiled Euplatypus,14666,TRUE,3,4,195
8484,Compiled Euplatypus,14667,TRUE,3,4,195
8485,Compiled Euplatypus,14668,TRUE,3,4,195
8486,Compiled Euplatypus,14669,TRUE,3,4,195
8487,Compiled Euplatypus,14670,TRUE,3,4,195
8488,Compiled Euplatypus,14671,TRUE,3,4,195
8489,Compiled Euplatypus,14672,TRUE,3,4,195
8490,Compiled Euplatypus,14673,TRUE,3,4,195
8491,Compiled Euplatypus,14674,TRUE,3,4,195
8492,Compiled Euplatypus,14675,TRUE,3,4,195
8493,Compiled Euplatypus,14676,TRUE,3,4,195
8494,Compiled Euplatypus,14677,TRUE,3,4,195
8495,Compiled Euplatypus,14678,TRUE,3,4,195
8496,Compiled Euplatypus,14679,TRUE,3,4,195
8497,Compiled Euplatypus,14680,TRUE,3,4,195
8498,Compiled Euplatypus,14681,TRUE,3,4,195
8456,Compiled Euplatypus,14639,TRUE,3,4,195
8457,Compiled Euplatypus,14640,TRUE,3,4,195
8458,Compiled Euplatypus,14641,TRUE,3,4,195
8459,Compiled Euplatypus,14642,TRUE,3,4,195
8460,Compiled Euplatypus,14643,TRUE,3,4,195
8461,Compiled Euplatypus,14644,TRUE,3,4,195
8462,Compiled Euplatypus,14645,TRUE,3,4,195
8463,Compiled Euplatypus,14646,TRUE,3,4,195
8464,Compiled Euplatypus,14647,TRUE,3,4,195
8465,Compiled Euplatypus,14648,TRUE,3,4,195
8466,Compiled Euplatypus,14649,TRUE,3,4,195
8467,Compiled Euplatypus,14650,TRUE,3,4,195
8468,Compiled Euplatypus,14651,TRUE,3,4,195
8469,Compiled Euplatypus,14652,TRUE,3,4,195
8470,Compiled Euplatypus,14653,TRUE,3,4,195
8471,Compiled Euplatypus,14654,TRUE,3,4,195
8472,Compiled Euplatypus,14655,TRUE,3,4,195
8473,Compiled Euplatypus,14656,TRUE,3,4,195
8474,Compiled Euplatypus,14657,TRUE,3,4,195
8475,Compiled Euplatypus,14658,TRUE,3,4,195
8476,Compiled Euplatypus,14659,TRUE,3,4,195
8477,Compiled Euplatypus,14660,TRUE,3,4,195
8500,Compiled Euplatypus,14684,TRUE,3,4,195
8443,Compiled Euplatypus,14632,TRUE,3,4,195
8446,Compiled Euplatypus,14635,TRUE,3,4,195
8517,Compiled Euplatypus,14701,,5,6,196
8518,Compiled Euplatypus,14702,,5,6,196
8519,Compiled Euplatypus,14703,,5,6,196
8520,Compiled Euplatypus,14704,,5,6,196
8521,Compiled Euplatypus,14705,,5,6,196
8522,Compiled Euplatypus,14706,,7,1,196
8523,Compiled Euplatypus,14707,,7,1,196
8524,Compiled Euplatypus,14708,,7,1,196
8525,Compiled Euplatypus,14709,,7,1,196
8526,Compiled Euplatypus,14710,,7,1,196
8535,Compiled Euplatypus,14719,,8,1,196
8536,Compiled Euplatypus,14720,,8,1,196
8537,Compiled Euplatypus,14721,,8,1,196
8538,Compiled Euplatypus,14722,,8,1,196
8539,Compiled Euplatypus,14723,,8,1,196
8572,Compiled Euplatypus,14918,,2,1,198
8576,Compiled Euplatypus,14922,,2,1,198
8581,Compiled Euplatypus,14931,,2,1,198
8582,Compiled Euplatypus,14932,,2,1,198
8583,Compiled Euplatypus,14933,,2,1,198
8584,Compiled Euplatypus,14934,,2,1,198
8585,Compiled Euplatypus,14935,,2,1,198
8587,Compiled Euplatypus,14941,,5,6,197
8588,Compiled Euplatypus,14942,,5,6,197
8593,Compiled Euplatypus,14947,,2,1,198
8594,Compiled Euplatypus,14948,,2,1,198
8597,Compiled Euplatypus,14951,,2,1,198
8601,Compiled Euplatypus,14955,,2,1,198
8602,Compiled Euplatypus,14956,,2,1,198
8603,Compiled Euplatypus,14957,,2,1,198
8604,Compiled Euplatypus,14958,,2,1,198
8606,Compiled Euplatypus,14960,,2,1,198
8610,Compiled Euplatypus,14964,,2,1,198
8613,Compiled Euplatypus,14967,,2,1,198
8614,Compiled Euplatypus,14968,,2,1,198
8616,Compiled Euplatypus,14970,,2,1,198
8617,Compiled Euplatypus,14971,,2,1,198
8618,Compiled Euplatypus,14972,,2,1,198
8619,Compiled Euplatypus,14973,,2,1,198
8622,Compiled Euplatypus,14977,,2,1,196
8625,Compiled Euplatypus,14980,,2,1,196
8626,Compiled Euplatypus,14981,,2,1,196
8621,Compiled Euplatypus,14976,TRUE,2,1,196
8623,Compiled Euplatypus,14978,TRUE,2,1,196
8624,Compiled Euplatypus,14979,TRUE,2,1,196
8589,Compiled Euplatypus,14943,TRUE,5,6,197
8590,Compiled Euplatypus,14944,TRUE,5,6,197
8591,Compiled Euplatypus,14945,TRUE,3,4,195
8592,Compiled Euplatypus,14946,TRUE,3,4,195
8595,Compiled Euplatypus,14949,TRUE,2,1,198
8596,Compiled Euplatypus,14950,TRUE,2,1,198
8598,Compiled Euplatypus,14952,TRUE,2,1,198
8599,Compiled Euplatypus,14953,TRUE,2,1,198
8600,Compiled Euplatypus,14954,TRUE,2,1,198
8605,Compiled Euplatypus,14959,TRUE,2,1,198
8607,Compiled Euplatypus,14961,TRUE,2,1,198
8608,Compiled Euplatypus,14962,TRUE,2,1,198
8609,Compiled Euplatypus,14963,TRUE,2,1,198
8611,Compiled Euplatypus,14965,TRUE,2,1,198
8612,Compiled Euplatypus,14966,TRUE,2,1,198
8615,Compiled Euplatypus,14969,TRUE,2,1,198
8620,Compiled Euplatypus,14974,TRUE,2,1,198
8586,Compiled Euplatypus,14936,TRUE,2,1,198
8573,Compiled Euplatypus,14919,TRUE,2,1,198
8574,Compiled Euplatypus,14920,TRUE,2,1,198
8575,Compiled Euplatypus,14921,TRUE,2,1,198
8560,Compiled Euplatypus,14905,TRUE,5,6,197
8561,Compiled Euplatypus,14906,TRUE,5,6,197
8562,Compiled Euplatypus,14907,TRUE,5,6,197
8563,Compiled Euplatypus,14908,TRUE,5,6,197
8564,Compiled Euplatypus,14909,TRUE,5,6,197
8565,Compiled Euplatypus,14910,TRUE,5,6,197
8566,Compiled Euplatypus,14911,TRUE,5,6,197
8567,Compiled Euplatypus,14912,TRUE,5,6,197
8568,Compiled Euplatypus,14913,TRUE,5,6,197
8569,Compiled Euplatypus,14914,TRUE,5,6,197
8570,Compiled Euplatypus,14915,TRUE,5,6,197
8577,Compiled Euplatypus,14927,TRUE,2,1,198
8578,Compiled Euplatypus,14928,TRUE,2,1,198
8579,Compiled Euplatypus,14929,TRUE,2,1,198
8580,Compiled Euplatypus,14930,TRUE,2,1,198
8529,Compiled Euplatypus,14713,TRUE,5,6,196
8530,Compiled Euplatypus,14714,TRUE,5,6,196
8531,Compiled Euplatypus,14715,TRUE,5,6,196
8532,Compiled Euplatypus,14716,TRUE,5,6,196
8533,Compiled Euplatypus,14717,TRUE,5,6,196
8702,Compiled Euplatypus,15078,,3,4,195
8703,Compiled Euplatypus,15079,,3,4,195
8704,Compiled Euplatypus,15080,,3,4,195
8705,Compiled Euplatypus,15081,,3,4,195
8692,Compiled Euplatypus,15068,TRUE,3,4,195
8693,Compiled Euplatypus,15069,TRUE,3,4,195
8694,Compiled Euplatypus,15070,TRUE,3,4,195
8695,Compiled Euplatypus,15071,TRUE,3,4,195
8696,Compiled Euplatypus,15072,TRUE,3,4,195
8697,Compiled Euplatypus,15073,TRUE,3,4,195
8698,Compiled Euplatypus,15074,TRUE,3,4,195
8699,Compiled Euplatypus,15075,TRUE,3,4,195
8700,Compiled Euplatypus,15076,TRUE,3,4,195
8707,Compiled Euplatypus,15083,TRUE,3,4,195
