Sample object,Comes from
9094,8722
282,172
9095,8725
9096,8726
9097,8727
9098,8729
9099,8730
9100,8734
9101,8735
9102,8736
9103,8737
166,160
175,170
176,170
177,170
178,170
179,170
180,160
181,160
182,160
183,170
184,170
185,170
186,170
187,170
188,170
189,170
190,171
191,171
192,171
193,171
194,171
195,171
196,171
197,160
198,171
199,171
200,171
201,171
202,171
203,171
204,171
205,171
206,171
207,171
208,171
209,171
210,171
211,170
212,170
213,169
214,169
215,169
217,169
218,169
219,169
220,169
221,169
222,169
223,169
224,172
225,172
226,172
227,172
228,172
229,172
230,172
231,172
232,172
233,172
234,172
235,169
236,160
237,160
238,160
239,160
240,160
241,160
242,160
243,160
244,173
245,173
246,173
247,173
248,173
249,173
250,173
251,173
252,173
253,173
254,173
255,173
256,173
257,173
9104,8739
554,552
555,552
556,552
557,552
558,552
559,552
560,552
561,552
562,552
563,552
564,552
565,552
566,552
567,552
568,552
569,552
570,552
571,553
572,553
573,553
574,553
575,553
576,553
577,553
578,553
579,553
580,553
581,553
582,553
583,553
9105,8740
9106,8741
9107,8742
9108,8743
9109,8744
9110,8745
9111,8746
9112,8747
9113,8748
9114,8749
9115,8750
9116,8751
9117,8753
9118,8754
9119,8755
9120,8757
9121,8758
9122,8759
9123,8760
3496,3491
3497,3491
3549,3483
3550,3482
3551,3482
3552,3482
3553,3482
3554,3482
3555,3482
3556,3481
3557,3481
3558,3481
3559,3481
3560,3481
3561,3481
3562,3480
3563,3480
3564,3480
3565,3480
3566,3480
3567,3480
3568,3479
3569,3479
3570,3479
3571,3479
3572,3479
3573,3479
3574,3477
3575,3477
3576,3477
3577,3477
3578,3477
3579,3477
3580,3476
3581,3476
3582,3476
3583,3476
3584,3476
3585,3476
3586,3475
3587,3475
3588,3475
3589,3475
3590,3475
3591,3475
3592,3474
3593,3474
3594,3474
3595,3474
3596,3474
3597,3474
3598,3473
3599,3473
3600,3473
3601,3473
3602,3473
3603,3473
3604,3472
3605,3472
3606,3472
3607,3472
3608,3472
3609,3472
3610,3471
3611,3471
3612,3471
3613,3471
3614,3471
1171,1170
1172,1170
1173,1170
1174,1170
1175,1170
1176,1170
1177,1170
1178,1170
1179,1170
3494,3491
3495,3491
3500,3491
3501,3491
3502,3490
3503,3490
3504,3490
3505,3490
3506,3490
3507,3490
3508,3489
3509,3489
3510,3489
3511,3489
3512,3489
3513,3489
3514,3488
3515,3488
3516,3488
3517,3488
3518,3488
3519,3488
3520,3487
3521,3487
3522,3487
3523,3487
3524,3487
3525,3487
3526,3486
3527,3486
3528,3486
3529,3486
3530,3486
3531,3486
3532,3485
3533,3485
3534,3485
3535,3485
3536,3485
3537,3485
3538,3484
3539,3484
3540,3484
3541,3484
3542,3484
3543,3484
3544,3483
3545,3483
3546,3483
3547,3483
3548,3483
3615,3471
3616,3468
3617,3468
3618,3468
3619,3468
3620,3468
3621,3468
3622,3467
3623,3467
3624,3467
3625,3467
3626,3467
3627,3467
3628,3466
3629,3466
3630,3466
3631,3466
3632,3466
3633,3466
3634,3465
3635,3465
3636,3465
3637,3465
3638,3465
3639,3465
3640,3464
3641,3464
3642,3464
3643,3464
3644,3464
3645,3464
3646,3463
3647,3463
3648,3463
3649,3463
3650,3463
3651,3463
3652,3462
3653,3462
3654,3462
3655,3462
3656,3462
3657,3462
3658,3461
3659,3461
3660,3461
3661,3461
3662,3461
3663,3461
3664,3460
3665,3460
3666,3460
3667,3460
3668,3460
3669,3460
3670,3459
3671,3459
3672,3459
3673,3459
3674,3459
3675,3459
3676,3458
3677,3458
3678,3458
3679,3458
3680,3458
3681,3458
3682,3457
3683,3457
3684,3457
3685,3457
3686,3457
3687,3457
3688,3456
3689,3456
3690,3456
3691,3456
3692,3456
3693,3456
3694,3470
3695,3469
3696,3617
3697,3620
3698,3616
3699,3616
3700,3619
3701,3616
3702,3622
3703,3623
3704,3623
3705,3625
3706,3626
3707,3631
3708,3629
3709,3643
3710,3639
3711,3643
3712,3640
3713,3645
3714,3649
3715,3655
3716,3656
3717,3653
3718,3653
3719,3655
3720,3652
3721,3661
3722,3661
3723,3662
3724,3661
3725,3667
3726,3667
3727,3664
3728,3667
3729,3664
3730,3664
3731,3673
3732,3670
3733,3670
3734,3673
3735,3673
3736,3674
3737,3674
3738,3680
3739,3680
3740,3677
3741,3679
3742,3679
3743,3676
3744,3676
3745,3676
3746,3680
3747,3685
3748,3685
3749,3685
3750,3685
3751,3691
3752,3691
3753,3691
3754,3688
3757,3694
3758,3695
3759,3695
3760,3496
3761,3500
3762,3510
3763,3504
3764,3516
3765,3512
3766,3524
3767,3522
3768,3572
3769,3572
3770,3578
3771,3570
3772,3510
3773,3512
3774,3506
3775,3510
3776,3548
3777,3552
3778,3540
3779,3546
3780,3516
3781,3518
3782,3522
3783,3524
3784,3546
3785,3546
3786,3540
3787,3540
3788,3528
3789,3534
3790,3536
3791,3524
3792,3614
3793,3614
3794,3608
3795,3608
3796,3560
3797,3500
3798,3496
3799,3600
3800,3606
3801,3602
3802,3602
3803,3556
3804,3566
3805,3564
3806,3566
3807,3494
3808,3503
3809,3509
3810,3509
3811,3528
3812,3530
3813,3534
3814,3536
3815,3551
3816,3506
3817,3500
3818,3504
3819,3521
3820,3494
3821,3494
3822,3509
3823,3551
3824,3558
3825,3558
3826,3545
3827,3548
3828,3552
3829,3527
3830,3533
3831,3539
3832,3521
3833,3504
3834,3504
3835,3552
3836,3506
3837,3510
3838,3524
3839,3522
3840,3518
3841,3524
3842,3504
3843,3510
3844,3496
3845,3506
3846,3602
3847,3566
3848,3590
3849,3596
3850,3596
3851,3590
3852,3590
3853,3596
3854,3606
3855,3608
3856,3566
3857,3606
3858,3554
3859,3500
3860,3554
3861,3602
3862,3536
3863,3614
3864,3596
3865,3608
3866,3576
3867,3578
3868,3584
3869,3582
3870,3546
