gen_ob_id,slant_id,storage_method,location,from_slant_batch
4087,18416,85,84,21
4088,18417,85,84,21
3876,18288,85,84,21
3875,18287,85,84,21
3877,18289,85,84,21
3878,18290,85,84,21
3879,18291,85,84,21
3880,18292,85,84,21
3881,18293,85,84,21
3882,18294,85,84,21
3883,18295,85,84,21
3884,18296,85,84,21
3885,18297,85,84,21
3886,18298,85,84,21
3887,18299,85,84,21
3888,18300,85,84,21
3889,18301,85,84,21
3890,18302,85,84,21
3891,18303,85,84,21
3892,18304,85,84,21
3893,18305,85,84,21
3894,18306,85,84,21
3895,18307,85,84,21
3896,18308,85,84,21
3897,18309,85,84,21
3898,18310,85,84,21
3899,18311,85,84,21
3900,18312,85,84,21
3901,18313,85,84,21
3902,18314,85,84,21
3903,18315,85,84,21
3904,18316,85,84,21
3905,18317,85,84,21
3906,18318,85,84,21
3907,18319,85,84,21
3991,18320,85,84,21
3992,18321,85,84,21
3993,18322,85,84,21
3994,18323,85,84,21
3995,18324,85,84,21
3996,18325,85,84,21
3997,18326,85,84,21
3998,18327,85,84,21
3999,18328,85,84,21
4000,18329,85,84,21
4001,18330,85,84,21
4002,18331,85,84,21
4003,18332,85,84,21
4004,18333,85,84,21
4005,18334,85,84,21
4006,18335,85,84,21
4007,18336,85,84,21
4008,18337,85,84,21
4009,18338,85,84,21
4010,18339,85,84,21
4011,18340,85,84,21
4012,18341,85,84,21
4013,18342,85,84,21
4014,18343,85,84,21
4015,18344,85,84,21
4016,18345,85,84,21
4017,18346,85,84,21
4018,18347,85,84,21
4019,18348,85,84,21
4020,18349,85,84,21
4021,18350,85,84,21
4022,18351,85,84,21
4023,18352,85,84,21
4024,18353,85,84,21
4025,18354,85,84,21
4026,18355,85,84,21
4027,18356,85,84,21
4028,18357,85,84,21
4029,18358,85,84,21
4030,18359,85,84,21
4031,18360,85,84,21
4032,18361,85,84,21
4089,18418,85,84,21
4090,18419,85,84,21
4091,18420,85,84,21
4033,18362,85,84,21
4034,18363,85,84,21
4035,18364,85,84,21
4036,18365,85,84,21
4037,18366,85,84,21
4038,18367,85,84,21
4039,18368,85,84,21
4040,18369,85,84,21
4041,18370,85,84,21
4042,18371,85,84,21
4043,18372,85,84,21
4044,18373,85,84,21
4045,18374,85,84,21
4046,18375,85,84,21
4047,18376,85,84,21
4048,18377,85,84,21
4049,18378,85,84,21
4050,18379,85,84,21
4051,18380,85,84,21
4052,18381,85,84,21
4053,18382,85,84,21
4054,18383,85,84,21
4055,18384,85,84,21
4056,18385,85,84,21
4057,18386,85,84,21
4058,18387,85,84,21
4059,18388,85,84,21
4060,18389,85,84,21
4061,18390,85,84,21
4062,18391,85,84,21
4063,18392,85,84,21
4065,18394,85,84,21
4066,18395,85,84,21
4067,18396,85,84,21
4068,18397,85,84,21
4069,18398,85,84,21
4070,18399,85,84,21
4071,18400,85,84,21
4072,18401,85,84,21
4073,18402,85,84,21
4074,18403,85,84,21
4092,18421,85,84,21
4093,18422,85,84,21
4094,18423,85,84,21
4095,18424,85,84,21
4096,18425,85,84,21
4097,18426,85,84,21
4098,18427,85,84,21
4099,18428,85,84,21
4100,18429,85,84,21
4102,18431,85,84,21
4103,18432,85,84,21
4104,18433,85,84,21
4105,18434,85,84,21
4106,18435,85,84,21
4107,18436,85,84,21
4108,18437,85,84,21
4109,18438,85,84,21
4110,18439,85,84,21
4111,18440,85,84,21
4112,18441,85,84,21
4113,18442,85,84,21
4101,18430,85,84,21
4075,18404,85,84,21
4076,18405,85,84,21
4077,18406,85,84,21
4078,18407,85,84,21
4079,18408,85,84,21
4080,18409,85,84,21
4081,18410,85,84,21
4082,18411,85,84,21
4083,18412,85,84,21
4084,18413,85,84,21
4085,18414,85,84,21
4086,18415,85,84,21
4064,18393,85,84,21
